Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
musgehwnsdkf.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
vaiotomoakci.site.com.br,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
xn--zkync-kdb.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
sfr-confirmation.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
help-center524.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
help-center513.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
blurdrop.net,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
www-metmask.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
bbbbbbbttttttttttbbbbbbbb94984.godaddysites.com,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
faturarennerdigitalagora.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1
nfcuif.link,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
att-107623.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
amazon-fddtuyt.mrbonus.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
fervent-aryabhata.146-190-144-243.plesk.page,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
bullettrainbtn5.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
mmhiibtrio.temp.swtest.ru,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1
chikkuthomas.github.io,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
rerkilokko.weebly.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
help-center330.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
boumedremerese.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
clienteseguroacessoexclusivo.blogspot.com,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1
mjaymup1bhk1mtr0aa.filesusr.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,1
sante-monespace-carte.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
outlookcom165.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
flxerros2.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
sxcuservice.top,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
maxusdtdefi.cc,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
bizcorp4u.com,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1
att-109934.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
ortuspropertysolutions.co.uk,0,0,1,4,0,0,0,0,0,0,1,1,1,1,0,1
autofieldindia.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
vhee.o6cc.cfgliders.com.,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
goto-koyamato-co.abios.tjrhbut.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
accessoclientiweb.medanbh.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
brooks-xsdauofc.top,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
anaz0m.c0.1p.nqmtjs.com,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
app-murphy.i8ovmjv8ey-v1p3zvlqj4ye.p.temp-site.link,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
pxoqwrxdlu.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
computertechs.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1
dms-mining.com.na,0,0,1,3,0,0,0,1,0,1,1,0,1,1,0,1
20-166-63-210.cprapid.com,0,0,1,4,0,0,0,1,0,0,1,1,1,1,1,1
etc-dhfdr.wikaba.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
erd-tvvge.formstack.com,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
sn3-kdg3b.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
congratulations97.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
sif-5ba.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
help-center373.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
dylanfox.com.au,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
caisse-assu-maladie.fr,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
sz1sz.com,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1
bswap-finance.web.app,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
bafybeia6pa2stquojkauqbrk7ymggry24fwg4eb3hmhwplfhnjnyzgwvy4.ipfs.fleek.cool,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
documentation004-service012.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
interno01-dipartimento.me,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
blue-king-b8c1.mailatt.workers.dev,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
sites.google.com,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0,1
